99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
0	55	55	99	55	99	99	99	55	99	55	1	1	1	15	55
55	55	55	99	55	99	99	99	55	99	55	1	1	1	15	55
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	55	99	55	99	99	99	55	99	55	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
0	55	55	99	55	99	99	99	55	99	55	1	1	1	15	55
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55	99	99	99	99	99
10	55	55	99	55	9	99	99	55	99	55	99	99	99	99	99
10	55	55	99	55	99	99	99	55	99	55	99	99	99	99	99
10	55	55	99	55	9	99	99	55	99	55	99	99	99	99	99
3	99	3	2	99	99	99	99	99	99	99	99	99	55	99	99
10	55	55	99	55	99	99	99	55	99	55	99	99	99	99	99
2	1	2	4	4	6	7	8	8	6	55	1	1	1	99	99
2	1	2	4	4	6	7	8	8	6	55	1	1	1	99	99
2	1	2	4	4	6	7	8	8	6	55	1	1	1	99	99
2	1	2	4	4	6	7	8	8	6	55	1	1	1	99	99
